id,product,amount,region
1,Doohickey,515.16,South
2,Widget,455.38,West
3,Doohickey,840.66,East
4,Widget,1685.66,West
5,Thingmajig,4428.91,East
6,Gadget,3607.5,North
7,Thingmajig,3070.66,West
8,Thingmajig,3477.28,East
9,Doohickey,1702.95,East
10,Thingmajig,1265.55,West
11,Gadget,4410.34,East
12,Gadget,1623.16,South
13,Thingmajig,1170.92,South
14,Gadget,2112.52,East
15,Widget,4102.77,South
16,Doohickey,3696.29,South
17,Doohickey,2263.01,North
18,Doohickey,1064.43,East
19,Doohickey,172.17,North
20,Gadget,1942.64,East
21,Thingmajig,1208.91,East
22,Doohickey,476.61,North
23,Thingmajig,3815.77,East
24,Gadget,4388.22,East
25,Thingmajig,3381.41,East
26,Doohickey,4733.3,West
27,Thingmajig,4158.05,West
28,Gadget,4104.58,East
29,Doohickey,3192.51,East
30,Thingmajig,629.17,West
31,Thingmajig,3212.12,East
32,Gadget,1876.68,North
33,Gadget,2722.96,South
34,Gadget,4123.62,East
35,Doohickey,1338.25,East
36,Thingmajig,4898.46,North
37,Thingmajig,3026.92,West
38,Gadget,549.02,North
39,Thingmajig,4113.5,West
40,Thingmajig,2524.17,West
41,Gadget,2929.19,North
42,Doohickey,1506.54,North
43,Widget,2601.0,East
44,Doohickey,1761.76,West
45,Thingmajig,4656.85,North
46,Widget,3033.12,South
47,Thingmajig,1052.0,North
48,Thingmajig,1961.38,East
49,Doohickey,4250.36,South
50,Doohickey,4811.02,North
51,Doohickey,2368.33,West
52,Thingmajig,2545.98,North
53,Thingmajig,627.56,West
54,Thingmajig,1572.29,North
55,Doohickey,1645.79,West
56,Widget,4778.7,West
57,Thingmajig,2897.74,North
58,Gadget,770.78,North
59,Gadget,788.29,East
60,Thingmajig,2482.14,West
61,Doohickey,1922.74,North
62,Thingmajig,3751.74,North
63,Thingmajig,2292.03,North
64,Thingmajig,2038.62,North
65,Thingmajig,4314.45,East
66,Thingmajig,1824.15,West
67,Doohickey,1124.96,South
68,Doohickey,2708.78,East
69,Doohickey,3265.6,East
70,Thingmajig,4113.84,North
71,Widget,3502.11,South
72,Widget,2081.31,South
73,Doohickey,569.82,North
74,Widget,287.96,South
75,Widget,3317.75,West
76,Doohickey,552.42,East
77,Thingmajig,4226.45,West
78,Widget,71.53,South
79,Doohickey,1766.59,West
80,Gadget,693.24,North
81,Widget,1009.68,North
82,Widget,2198.34,East
83,Widget,4911.59,South
84,Gadget,2672.81,North
85,Doohickey,1125.27,South
86,Gadget,2156.98,South
87,Gadget,1608.23,North
88,Doohickey,3298.45,South
89,Thingmajig,4737.85,South
90,Gadget,805.85,East
91,Gadget,2266.34,East
92,Thingmajig,3448.05,West
93,Thingmajig,2383.12,South
94,Gadget,1692.17,South
95,Doohickey,3722.78,East
96,Gadget,1294.7,South
97,Thingmajig,610.58,West
98,Thingmajig,4777.88,North
99,Widget,3418.71,East
100,Widget,464.77,West
101,Thingmajig,4029.12,West
102,Thingmajig,910.31,West
103,Gadget,1829.86,West
104,Gadget,2520.68,East
105,Thingmajig,896.37,North
106,Gadget,1746.48,West
107,Doohickey,2188.89,East
108,Doohickey,1123.38,North
109,Widget,3749.29,East
110,Widget,4395.04,East
111,Widget,614.47,North
112,Widget,4436.87,East
113,Thingmajig,1022.44,West
114,Widget,4528.52,South
115,Thingmajig,1564.63,North
116,Doohickey,2629.52,South
117,Gadget,4033.85,North
118,Doohickey,1466.85,North
119,Doohickey,4265.66,East
120,Doohickey,481.7,West
121,Gadget,2767.44,North
122,Thingmajig,2514.34,North
123,Widget,3774.15,North
124,Widget,3973.19,East
125,Thingmajig,945.61,North
126,Thingmajig,3520.51,West
127,Thingmajig,2802.02,South
128,Gadget,94.36,East
129,Doohickey,361.42,West
130,Widget,1617.63,South
131,Gadget,1373.5,West
132,Widget,1079.49,East
133,Doohickey,1572.94,West
134,Gadget,4383.42,South
135,Gadget,2596.52,North
136,Thingmajig,1465.91,East
137,Widget,2777.93,South
138,Gadget,1335.47,South
139,Thingmajig,4421.65,East
140,Widget,4390.28,East
141,Widget,61.28,West
142,Gadget,4420.16,South
143,Gadget,3010.29,South
144,Widget,2743.71,North
145,Gadget,4577.9,North
146,Gadget,1513.93,South
147,Gadget,856.33,East
148,Thingmajig,1689.33,West
149,Thingmajig,1872.71,South
150,Doohickey,1400.92,West
151,Thingmajig,2376.65,West
152,Doohickey,230.64,South
153,Doohickey,3622.57,West
154,Gadget,1605.68,North
155,Gadget,2138.19,North
156,Thingmajig,4025.8,North
157,Thingmajig,251.65,West
158,Gadget,119.03,East
159,Thingmajig,4180.08,South
160,Doohickey,1059.76,South
161,Gadget,2509.74,North
162,Widget,3773.69,South
163,Doohickey,4249.33,West
164,Gadget,4149.64,West
165,Doohickey,2318.55,East
166,Thingmajig,826.47,South
167,Gadget,501.56,South
168,Gadget,3368.09,East
169,Thingmajig,2890.84,North
170,Doohickey,3923.46,East
171,Gadget,2476.18,East
172,Doohickey,2873.92,North
173,Widget,174.76,North
174,Thingmajig,822.93,West
175,Gadget,3699.31,North
176,Gadget,1905.27,South
177,Thingmajig,1326.21,East
178,Widget,959.3,North
179,Thingmajig,4130.54,East
180,Gadget,1347.47,West
181,Doohickey,3193.05,West
182,Widget,3101.9,South
183,Thingmajig,2749.46,South
184,Gadget,1697.61,North
185,Thingmajig,4967.99,West
186,Doohickey,3355.71,East
187,Widget,1360.4,West
188,Doohickey,1446.24,West
189,Thingmajig,656.34,East
190,Doohickey,2446.8,East
191,Thingmajig,2761.03,East
192,Doohickey,4704.07,South
193,Doohickey,1924.58,North
194,Gadget,2172.99,North
195,Gadget,4456.59,South
196,Gadget,4782.27,East
197,Gadget,449.81,North
198,Gadget,3088.54,West
199,Thingmajig,1765.35,West
200,Doohickey,585.04,South
201,Gadget,1071.19,West
202,Widget,4056.22,North
203,Doohickey,67.44,West
204,Widget,923.38,South
205,Gadget,4982.25,West
206,Widget,3963.89,West
207,Doohickey,3530.05,South
208,Gadget,3011.18,East
209,Thingmajig,736.77,West
210,Widget,823.23,East
211,Doohickey,2274.73,South
212,Doohickey,4642.92,South
213,Doohickey,3357.36,West
214,Thingmajig,979.49,South
215,Thingmajig,3301.43,North
216,Thingmajig,1754.43,South
217,Thingmajig,889.53,East
218,Thingmajig,624.37,East
219,Thingmajig,3433.71,North
220,Doohickey,4252.04,South
221,Widget,2226.5,East
222,Thingmajig,2209.23,East
223,Gadget,649.74,North
224,Widget,4107.05,North
225,Gadget,4333.73,South
226,Gadget,2105.48,North
227,Doohickey,2443.34,West
228,Gadget,2827.17,North
229,Gadget,2933.63,West
230,Widget,2309.56,East
231,Doohickey,755.42,North
232,Doohickey,757.14,South
233,Doohickey,3605.55,South
234,Widget,2988.84,East
235,Thingmajig,4201.35,East
236,Doohickey,4437.81,South
237,Thingmajig,2287.45,West
238,Gadget,2350.99,West
239,Thingmajig,3299.85,West
240,Widget,3621.87,North
241,Gadget,3648.44,West
242,Widget,1986.91,North
243,Doohickey,3379.63,East
244,Gadget,4116.98,East
245,Doohickey,3382.34,West
246,Thingmajig,4638.63,North
247,Thingmajig,4990.7,West
248,Doohickey,3370.38,North
249,Thingmajig,68.98,South
250,Widget,4968.7,East
251,Thingmajig,2519.71,South
252,Widget,1013.09,North
253,Gadget,2295.5,East
254,Gadget,3067.63,North
255,Thingmajig,3989.53,North
256,Thingmajig,4879.76,North
257,Widget,3254.77,West
258,Thingmajig,4929.04,North
259,Doohickey,3642.24,East
260,Widget,966.04,East
261,Thingmajig,4417.75,North
262,Widget,2316.6,North
263,Gadget,1008.38,North
264,Gadget,274.33,East
265,Gadget,4954.2,South
266,Widget,2721.68,North
267,Widget,377.08,West
268,Gadget,3466.51,South
269,Thingmajig,3605.13,North
270,Thingmajig,1357.84,East
271,Gadget,554.94,South
272,Thingmajig,4981.17,South
273,Doohickey,1943.81,South
274,Widget,1022.85,South
275,Doohickey,4587.63,South
276,Doohickey,1738.17,South
277,Gadget,611.17,North
278,Gadget,2332.18,North
279,Gadget,634.89,South
280,Doohickey,289.15,East
281,Thingmajig,4602.75,East
282,Gadget,1455.5,South
283,Widget,2295.92,South
284,Thingmajig,1350.57,East
285,Doohickey,4813.51,North
286,Gadget,1715.08,East
287,Widget,2949.31,West
288,Thingmajig,3437.22,North
289,Widget,3173.68,East
290,Thingmajig,4263.47,South
291,Doohickey,2001.43,South
292,Widget,4767.47,East
293,Thingmajig,228.54,East
294,Widget,4909.56,East
295,Doohickey,4721.0,South
296,Thingmajig,2399.55,South
297,Widget,3794.74,East
298,Thingmajig,4869.13,South
299,Thingmajig,4022.72,North
300,Doohickey,2303.82,West
301,Thingmajig,443.3,South
302,Thingmajig,3228.11,North
303,Gadget,4620.61,South
304,Gadget,1273.85,East
305,Gadget,3916.73,East
306,Widget,2601.74,West
307,Thingmajig,380.1,South
308,Gadget,3180.92,South
309,Widget,905.7,West
310,Gadget,849.96,West
311,Gadget,2997.48,South
312,Doohickey,2827.16,East
313,Gadget,3515.69,North
314,Thingmajig,2168.03,East
315,Widget,4121.58,East
316,Gadget,1633.56,North
317,Widget,1456.59,South
318,Gadget,2966.78,North
319,Widget,578.37,North
320,Doohickey,809.56,North
321,Doohickey,3701.63,East
322,Widget,1118.64,West
323,Gadget,3717.43,South
324,Thingmajig,4340.64,North
325,Widget,4758.62,North
326,Gadget,4902.27,East
327,Doohickey,4840.3,South
328,Widget,4304.9,North
329,Doohickey,3893.0,West
330,Gadget,1772.3,North
331,Widget,1418.98,North
332,Widget,2014.2,South
333,Doohickey,1847.73,East
334,Gadget,2724.44,North
335,Widget,2150.95,South
336,Doohickey,2828.23,South
337,Doohickey,4380.25,West
338,Widget,3758.85,South
339,Widget,3519.73,South
340,Thingmajig,2284.71,East
341,Thingmajig,4697.76,West
342,Thingmajig,4319.09,North
343,Doohickey,2643.37,North
344,Thingmajig,2235.2,South
345,Gadget,4624.82,East
346,Thingmajig,3923.47,South
347,Thingmajig,1422.99,North
348,Doohickey,2043.42,West
349,Widget,1521.78,West
350,Gadget,3041.83,North
351,Doohickey,1279.53,East
352,Gadget,965.58,East
353,Doohickey,1649.21,West
354,Doohickey,4413.72,South
355,Thingmajig,2778.14,West
356,Gadget,3609.54,South
357,Widget,461.76,South
358,Gadget,1468.07,East
359,Thingmajig,1200.02,West
360,Doohickey,3583.95,South
361,Thingmajig,4346.4,East
362,Thingmajig,3385.17,West
363,Widget,1762.74,East
364,Doohickey,602.13,East
365,Doohickey,4019.16,East
366,Thingmajig,3476.36,North
367,Gadget,2683.11,East
368,Gadget,2909.07,North
369,Thingmajig,3003.63,East
370,Widget,2938.91,North
371,Widget,310.16,North
372,Doohickey,2787.57,South
373,Widget,1112.3,East
374,Widget,2053.47,North
375,Gadget,3044.55,East
376,Gadget,756.99,South
377,Widget,1087.26,West
378,Doohickey,2991.85,North
379,Thingmajig,3610.36,East
380,Gadget,1338.16,North
381,Doohickey,1514.92,East
382,Gadget,3200.84,East
383,Widget,2959.51,East
384,Gadget,3911.91,South
385,Thingmajig,2928.76,West
386,Widget,3740.87,South
387,Thingmajig,1429.17,North
388,Widget,3735.05,West
389,Doohickey,463.28,West
390,Widget,2077.47,South
391,Thingmajig,3168.42,North
392,Doohickey,3086.16,West
393,Gadget,2278.09,South
394,Doohickey,2885.6,South
395,Gadget,494.03,North
396,Thingmajig,4875.85,North
397,Doohickey,1350.86,North
398,Thingmajig,4462.7,North
399,Thingmajig,1876.76,North
400,Widget,3045.66,East
401,Thingmajig,4080.2,North
402,Gadget,4105.11,South
403,Thingmajig,1762.75,South
404,Thingmajig,2274.42,East
405,Widget,1921.87,North
406,Widget,717.89,East
407,Gadget,3443.38,East
408,Widget,3209.84,North
409,Doohickey,4540.23,South
410,Doohickey,655.11,South
411,Thingmajig,2776.82,North
412,Widget,3989.44,North
413,Doohickey,1275.22,West
414,Gadget,1680.77,West
415,Widget,2644.37,West
416,Doohickey,1806.47,East
417,Widget,2307.2,West
418,Doohickey,1962.21,East
419,Doohickey,4874.52,South
420,Thingmajig,1071.73,South
421,Widget,582.0,North
422,Gadget,4945.06,North
423,Doohickey,3964.58,South
424,Widget,1289.01,East
425,Gadget,2876.7,East
426,Widget,2131.74,East
427,Doohickey,2517.14,North
428,Doohickey,3357.94,West
429,Doohickey,849.05,South
430,Widget,1818.16,South
431,Widget,1969.96,East
432,Doohickey,734.65,West
433,Doohickey,2657.21,North
434,Thingmajig,1811.15,East
435,Gadget,419.29,West
436,Widget,2734.71,North
437,Thingmajig,1989.54,South
438,Doohickey,3353.06,South
439,Doohickey,1773.53,West
440,Doohickey,4045.03,North
441,Thingmajig,3244.9,North
442,Widget,3641.35,South
443,Gadget,4472.48,North
444,Widget,2825.92,North
445,Doohickey,3626.56,South
446,Doohickey,2680.34,South
447,Gadget,2011.86,South
448,Widget,2168.17,North
449,Gadget,2127.22,West
450,Thingmajig,151.08,West
451,Gadget,3792.54,West
452,Thingmajig,322.27,North
453,Thingmajig,1850.79,East
454,Widget,1816.31,West
455,Thingmajig,4721.71,West
456,Widget,793.16,West
457,Gadget,1551.31,East
458,Widget,4116.99,South
459,Thingmajig,4722.14,South
460,Thingmajig,317.97,South
461,Widget,393.29,South
462,Doohickey,363.53,South
463,Gadget,4484.28,North
464,Gadget,4713.67,South
465,Thingmajig,1389.72,West
466,Widget,1199.8,East
467,Gadget,4261.99,West
468,Gadget,1188.55,East
469,Doohickey,1288.68,East
470,Widget,2915.7,South
471,Gadget,3397.35,South
472,Gadget,2762.95,South
473,Widget,2449.74,West
474,Widget,1433.7,West
475,Widget,501.92,South
476,Gadget,3587.7,West
477,Doohickey,88.94,West
478,Gadget,2994.91,South
479,Gadget,4081.23,South
480,Gadget,3415.78,South
481,Gadget,4662.92,North
482,Widget,379.15,East
483,Thingmajig,1695.27,East
484,Thingmajig,1038.59,South
485,Thingmajig,1884.0,North
486,Thingmajig,118.99,West
487,Gadget,996.09,South
488,Widget,2800.76,East
489,Doohickey,4780.97,North
490,Gadget,4579.93,East
491,Gadget,408.69,East
492,Gadget,3060.92,North
493,Doohickey,1632.7,West
494,Gadget,3620.92,North
495,Thingmajig,1456.99,East
496,Thingmajig,4415.67,West
497,Widget,2309.95,South
498,Doohickey,2823.66,West
499,Gadget,2309.97,East
500,Thingmajig,4830.49,South
501,Thingmajig,945.18,East
502,Gadget,1020.19,East
503,Doohickey,930.03,West
504,Doohickey,1769.78,West
505,Doohickey,3153.54,South
506,Doohickey,3861.43,North
507,Gadget,3597.53,North
508,Thingmajig,82.39,East
509,Widget,3700.5,West
510,Gadget,1632.89,West
511,Thingmajig,941.04,West
512,Gadget,1859.28,West
513,Widget,879.75,North
514,Doohickey,492.28,North
515,Doohickey,371.07,East
516,Widget,1544.03,East
517,Gadget,443.99,East
518,Thingmajig,4537.68,North
519,Gadget,4532.12,South
520,Gadget,2011.89,North
521,Doohickey,3392.33,East
522,Gadget,993.89,South
523,Thingmajig,2456.27,West
524,Widget,3846.76,North
525,Doohickey,3678.99,South
526,Gadget,4472.6,North
527,Gadget,2316.38,South
528,Doohickey,393.12,West
529,Thingmajig,3560.49,East
530,Widget,4114.69,West
531,Doohickey,4284.68,West
532,Widget,1601.6,North
533,Thingmajig,694.44,East
534,Thingmajig,1882.29,West
535,Doohickey,3654.24,West
536,Gadget,2227.3,West
537,Widget,4116.73,South
538,Widget,1136.89,West
539,Doohickey,4293.28,South
540,Thingmajig,1393.73,East
541,Widget,2505.07,East
542,Doohickey,453.68,East
543,Thingmajig,4010.87,South
544,Thingmajig,1701.96,South
545,Thingmajig,768.54,North
546,Thingmajig,930.57,East
547,Widget,4439.33,South
548,Widget,3041.3,East
549,Doohickey,2957.91,South
550,Widget,3114.71,North
551,Widget,3108.76,South
552,Doohickey,2506.9,South
553,Doohickey,4323.26,North
554,Gadget,1229.52,West
555,Gadget,2168.93,North
556,Doohickey,488.17,West
557,Gadget,2656.13,South
558,Gadget,3279.89,East
559,Gadget,2441.55,North
560,Doohickey,562.2,East
561,Widget,2442.79,East
562,Doohickey,2667.48,West
563,Widget,3287.95,West
564,Widget,4851.74,West
565,Gadget,1124.16,East
566,Thingmajig,3542.69,South
567,Doohickey,4728.54,South
568,Doohickey,1430.87,South
569,Widget,1709.44,South
570,Widget,2657.95,East
571,Gadget,4401.78,South
572,Gadget,4194.79,North
573,Widget,4471.18,North
574,Gadget,1025.26,West
575,Thingmajig,2006.51,West
576,Doohickey,4695.24,East
577,Doohickey,1199.15,North
578,Gadget,4941.16,North
