category,date,price,product,profit,quantity,revenue,store
High,2025-01-15,999.0,Laptop,1498.5,5,4995.0,Store A
High,2025-01-15,699.0,Phone,2097.0,10,6990.0,Store B
Low,2025-01-16,29.0,Mouse,217.5,25,725.0,Store A
High,2025-01-16,999.0,Laptop,899.1,3,2997.0,Store C
Low,2025-01-17,79.0,Keyboard,355.5,15,1185.0,Store B
Medium,2025-01-17,399.0,Monitor,957.5999999999999,8,3192.0,Store A
High,2025-01-18,699.0,Phone,2516.4,12,8388.0,Store C
High,2025-01-18,999.0,Laptop,2097.9,7,6993.0,Store B
Medium,2025-01-19,499.0,Tablet,2994.0,20,9980.0,Store A
Medium,2025-01-19,399.0,Monitor,598.5,5,1995.0,Store C
Low,2025-01-20,29.0,Mouse,261.0,30,870.0,Store B
Low,2025-01-20,79.0,Keyboard,426.59999999999997,18,1422.0,Store A
